X	Y	LABEL	ARTISTA	DISCO	RYM	COVERPATH	PROGRESSIVO
16	2	1971	New Trolls	Concerto grosso per i New Trolls	100	grosso.jpg	136
28	4	March 1975	Enzo Jannacci	Quelli che...	100	quelli.jpg	137
10	1	June 1969	Stelvio Cipriani	Femina ridens	100	femina.jpg	138
18	7	1972	Jumbo	DNA	100	dna.jpg	139
33	3	December 1977	Chrisma	Chinese Restaurant	100	chinese.jpg	140
24	6	April 1974	Ibis	Sun Supreme	100	sun.jpg	141
30	4	1976	Rino Gaetano	Mio fratello è figlio unico	100	fratello.jpg	142
25	6	February 1974	Francesco De Gregori	Francesco De Gregori	100	francesco.jpg	143
26	6	12 April 1974	Fabrizio De André	Canzoni	100	canzoni.jpg	144
40	2	1979	Nino Ferrer	Blanat	100	blanat.jpg	145
31	4	1976	Roberto Vecchioni	Elisir	100	elisir.jpg	146
23	7	1973	Rocky's Filj	Storie di uomini e non	100	storie.jpg	147
32	4	1976	Sensations' Fix	Finest Finger	100	finger.jpg	148
21	8	1973	Latte e Miele	Papillon	100	papillon.jpg	149
19	7	1972	J.E.T.	Fede, Speranza, Carità	100	fede.jpg	150
20	7	1972	Garybaldi	Nuda	100	nuda.jpg	151
18	8	1972	Capitolo 6	Frutti per Kagua	100	kagua.jpg	152
1	0	1966	Nino Ferrer	Enregistrement public	100	public.jpg	153
29	4	1975	Opus Avantra	Lord Cromwell Plays Suite for Seven Vices	100	lord.jpg	154
19	8	1972	New Trolls	UT	100	ut.jpg	155
38	3	May 1978	Banco	...di terra	100	diterra.jpg	156
27	5	February 1975	Claudio Lolli	Canzoni di rabbia	100	rabbia.jpg	157
28	5	March 1975	Banco	Banco	100	banco.jpg	158
29	5	1975	PFM	Chocolate Kings	100	choco.jpg	159
24	7	1974	Juri Camisasca	La finestra dentro	100	finestra.jpg	160
27	6	1975	Perigeo	La Valle dei Templi	100	valle.jpg	161
22	8	1973	Dedalus	Dedalus	100	dedalus.jpg	162
28	6	1975 Live	Agorà	Live in Montreux	100	montreux.jpg	163
30	5	April 1976	Francesco De Gregori	Bufalo Bill	100	bufalo.jpg	164
41	2	1979 Live	Francesco Guccini & I Nomadi	Album concerto	100	albumcon.jpg	165
20	8	1972	Circus 2000	An Escape From a Box (Fuga dall'involucro)	100	escape.jpg	166
23	8	1973	Festa Mobile	Diario di viaggio della Festa mobile	100	viaggio.jpg	167
25	7	1974	Il Volo	Il Volo	100	volo.jpg	168
26	7	1974	Maria Monti	Il bestiario	100	bestiario.jpg	169
17	2	1971	Blue Phantom	Distortions	100	disto.jpg	170
24	8	March 1974	Piero Umiliani	Il corpo	100	corpo.jpg	171
21	9	1973	Nuova Idea	Clowns	100	clown.jpg	172
31	5	1976	Napoli Centrale	Mattanza	100	mattanza.jpg	173
36	4	1978	Walter Rossi	Six Strings, Nine Lives	100	strings.jpg	174
37	4	April 1978	Francesco De Gregori	De Gregori	100	degregori.jpg	175
29	6	3 March 1975	I Pooh	Un po' del nostro tempo migliore	100	pooh.jpg	176
39	3	1979	Chrisma	Hibernation	100	hiber.jpg	177
22	9	1973	I Califfi	Fiore di metallo	100	fiore.jpg	178
40	3	1979	Musicanova	Quanno turnammo a nascere	100	nascere.jpg	179
41	3	1979	Salis	Dopo il buio la luce	100	buio.jpg	180
23	9	April 1973	Francesco De Gregori	Alice non lo sa	100	alice.jpg	181
25	8	1974	Alunni del Sole	Jenny e la bambola	100	jenny.jpg	182
34	3	1977	Canzoniere del Lazio	Miradas	100	miradas.jpg	183
26	8	1974	Tony Esposito	Rosso Napoletano	100	rosso.jpg	184
27	7	October 1975	Antonello Venditti	Lilly	100	lilly.jpg	185
39	4	6 June 1979	Orchestra Njervudarov	Con le orecchie di Eros	100	eros.jpg	186
24	9	1974	Saint Just	La casa del lago	100	lago.jpg	187
25	9	1974	Alessandro Alessandroni	Prisma sonoro	100	prisma.jpg	188
15	3	1971	Alessandro Alessandroni	Alessandro Alessandroni	100	alessandroni.jpg	189
18	9	1972	Delirium	Lo scemo e il villaggio	100	scemo.jpg	190
19	9	1972	I Teoremi	I Teoremi	100	teoremi.jpg	191
32	5	February 1976	Lucio Battisti	Lucio Battisti, la batteria, il contrabbasso, eccetera	100	basso.jpg	192
38	4	1978	Goblin	Il fantastico viaggio del "bagarozzo" Mark	100	mark.jpg	193
16	3	1971	Claudio Rocchi	Volo magico n. 1	100	magico.jpg	194
30	6	1976	Walter Rossi	Walter Rossi	100	walter.jpg	195
40	4	1979	Alberto Fortis	Alberto Fortis	100	fortis.jpg	196
17	3	1971	Panna Fredda	Uno	100	panna.jpg	197
41	4	June 1979	Paolo Conte	Un gelato al limon	100	limone.jpg	198
35	3	1977	Napoli Centrale	Qualcosa ca nu 'mmore	100	qualcosa.jpg	199
33	4	1977	Stormy Six	L'apprendista	100	apprendista.jpg	200
28	7	September 1975	Angelo Branduardi	La Luna	100	luna.jpg	201
31	6	1976	Edoardo Bennato	La torre di Babele	100	babele.jpg	202
20	9	1972	Milva	Dedicato a Milva da Ennio Morricone	100	milva.jpg	203
18	10	1972	Flea	Topi o uomini	100	topi.jpg	204
19	10	June 1972	Analogy	Analogy	100	analogy.jpg	205
21	10	1973	Saint Just	Saint Just	100	just.jpg	206
15	4	1971	Planetarium	Infinity	100	infinity.jpg	207
32	6	1976	Latte e Miele	Aquile e scoiattoli	100	aquile.jpg	208
26	9	13 March 1974	Edoardo Bennato	I buoni e i cattivi	100	buoni.jpg	209
22	10	1973	Nico, Gianni, Frank, Maurizio	Canti d'innocenza, canti d'esperienza	100	canti.jpg	210
23	10	1973	Dalton	Riflessioni: idea d'infinito	100	riflessioni.jpg	211
24	10	1974	Angelo Branduardi	Angelo Branduardi	100	branduardi.jpg	212
30	7	1976	Agorà	2	100	due.jpg	213
25	10	April 1974	Gabriella Ferri	Remedios	100	remedios.jpg	214
2	0	1966	Luigi Tenco	Tenco	100	tenco.jpg	215
12	2	1970	Il Balletto di Bronzo	Sirio 2222	100	sirio.jpg	216
31	7	1976	Lucio Dalla	Automobili	100	automobili.jpg	217
34	4	1977	Riccardo Zappa	Celestion	100	celestion.jpg	218
39	5	7 September 1979	Skiantos	Kinotto	100	kinotto.jpg	219
40	5	1979	Enzo Jannacci	Foto ricordo	100	foto.jpg	220
41	5	1979	Malvasia	Malvasia	100	malvasia.jpg	221
13	2	1970	The Group	The Feed-Back	100	feed.jpg	222
20	10	September 1972	Formula 3	Sognando e risognando	100	sognando.jpg	223
35	4	1977	Ivan Graziani	I lupi	100	lupi.jpg	224
21	11	1973	Rustichelli e Bordini	Opera Prima	100	opera.jpg	225
29	7	7 February 1975	Edoardo Bennato	Io che non sono l'imperatore	100	imperatore.jpg	226
16	4	1971	The Trip	Caronte	100	caronte.jpg	227
17	4	1971	Rosa Balistreri	Amore, tu lo sai, la vita è amara	100	amara.jpg	228
33	5	1977	Roberto Picchi	Raggi di sole	100	raggi.jpg	229
39	6	1979	Le Orme	Florian	100	florian.jpg	230
14	2	1970	Sandro Brugnolini	Overground	100	overground.jpg	231
26	10	1974	Aktuala	La terra	100	aktuala.jpg	232
15	5	1971	The Underground Set	War in the Night Before	100	war.jpg	233
32	7	1976	Roberto Colombo	Sfogatevi bestie	100	bestie.jpg	234
22	11	1973	Duello Madre	Duello Madre	100	duello.jpg	235
34	5	1977	Venegoni & Co.	Rumore rosso	100	rumore.jpg	236
4	0	1967	Nino Ferrer	Nino Ferrer	100	nino.jpg	237
40	6	1979	Genfuoco	Dentro l'invisible	100	invisibile.jpg	238
27	8	1975	Lucio Dalla	Anidride solforosa	100	anidride.jpg	239
18	11	1972	Armando Piazza	Suàn	100	suan.jpg	240
36	5	1978	Zauber	Zauber	100	zauber.jpg	241
23	11	1973	Blocco Mentale	Πόα (Poa)	100	poa.jpg	242
24	11	1974	E. A. Poe	Generazioni (Storia di sempre)	100	generazioni.jpg	243
21	12	March 1973	Claudio Lolli	Un uomo in crisi. Canzoni di morte, canzoni di vita	100	crisi.jpg	244
16	5	November 1971	Delirium	Dolce acqua	100	dolce.jpg	245
19	11	1972	Gruppo D'alternativa	Ipotesi	100	ipotesi.jpg	246
41	6	1979	Luciano Pavarotti	O Sole Mio: Favorite Neapolitan Songs	100	solemio.jpg	247
39	7	29 May 1979	Loredana Bertè	Bandabertè	100	berte.jpg	248
17	5	1971	Il Rovescio della Medaglia	La Bibbia	100	bibbia.jpg	249
22	12	1973	Mauro Pelosi	Al mercato degli uomini piccoli	100	mercato.jpg	250
40	7	1979	Carnascialia / Pasquale Minieri / Giorgio Vivaldi	Carnascialia	100	carna.jpg	251
20	11	1972	Osage Tribe	Arrow Head	100	arrow.jpg	252
30	8	1976	Canzoniere del Lazio	Spirito bono	100	bono.jpg	253
25	11	1974	Samadhi	Samadhi	100	sana.jpg	254
41	7	1979	Adriano Celentano	Soli	100	soli.jpg	255
18	12	1972	The Trip	Atlantide	100	atlantide.jpg	256
28	8	January 1975	Libra	Musica e parole	100	libra.jpg	257
31	8	1976	Il Baricentro	Sconcerto	100	sconcerto.jpg	258
23	12	June 1973	Acqua Fragile	Acqua Fragile	100	fragile.jpg	259
26	11	1974	Hero	Hero	100	hero.jpg	260
24	12	1974	Canzoniere del Lazio	Lassa sta' la me creatura	100	lassa.jpg	261
35	5	1977	Eugenio Finardi	Diesel	100	diesel.jpg	262
32	8	1976	Le Orme	Verità nascoste	100	verita.jpg	263
39	8	1979	Banco	Canto di primavera	100	primavera.jpg	264
25	12	1974	Rino Gaetano	Ingresso libero	100	ingresso.jpg	265
30	9	1976	Errata Corrige	Siegfried, il drago e altre storie	100	sieg.jpg	266
37	5	8 March 1978	Antonello Venditti	Sotto il segno dei pesci	100	pesci.jpg	267
12	3	1970 Live	Giorgio Gaber	Il signor G	100	signor.jpg	268
15	6	January 1971	The Braen's Machine	Underground	100	under.jpg	269
19	12	1972	Mack Porter	Peace on You	100	peace.jpg	270
26	12	1974	Francesco Guccini	Stanze di vita quotidiana	100	stanze.jpg	271
21	13	1973	Ricordi d'Infanzia	Io uomo	100	iouomo.jpg	272
22	13	November 1973	Nada	Ho scoperto che esisto anch'io	100	esisto.jpg	273
31	9	1976	Eugenio Finardi	Sugo	100	sugo.jpg	274
16	6	1971	M. Zalla	Paesaggi	100	paesaggi.jpg	275
24	13	1974	Bambibanda e Melodie	Bambibanda e Melodie	100	bambibanda.jpg	276
20	12	1972	La Seconda Genesi	Tutto deve finire	100	finire.jpg	277
11	1	5 March 1969	Lucio Battisti	Lucio Battisti	100	battisti.jpg	278
18	13	May 1972	Ennio Morricone	Anche se volessi lavorare, che faccio?	100	faccio.jpg	279
23	13	1973	Aktuala	Aktuala	100	akt.jpg	280
17	6	December 1971	Giorgio Gaber	I borghesi	100	borghesi.jpg	281
19	13	1972	Claudio Rocchi	La norma del cielo (Volo magico n.2)	100	norma.jpg	282
33	6	1977	Roberto Vecchioni	Samarcanda	100	samarcanda.jpg	283
29	8	1975	Mina	Minacantalucio	100	minac.jpg	284
32	9	1976	Esagono	Vicolo	100	vicolo.jpg	285
25	13	1974	Procession	Fiaba	100	fiaba.jpg	286
20	13	1972	Jacula	Tardo Pede in Magiam Versus	100	tardo.jpg	287
18	14	1972	Giorgio	Son of My Father	100	son.jpg	288
27	9	1975	Nino Ferrer	Suite en œuf	100	suite.jpg	289
30	10	1976	Pangea	Invasori	100	invasori.jpg	290
38	5	1978	Francesco Guccini	Amerigo	100	amerigo.jpg	291
19	14	1972	New Trolls	Searching for a Land	100	search.jpg	292
34	6	1977	Emilio Locurcio	L'eliogabalo	100	elio.jpg	293
40	8	1979	Angelo Branduardi	Cogli la prima mela	100	cogli.jpg	294
20	14	1972	Augusto Martelli	Black Sound from White People	100	white.jpg	295
21	14	1973	Eneide	Uomini Umili Popoli Liberi [unreleased]	100	uomini.jpg	296
22	14	1973	Odissea	Odissea	100	odissea.jpg	297
18	15	1972	Latte e Miele	Passio secundum Mattheum	100	passio.jpg	298
23	14	1973	The Trip	Time of Change	100	change.jpg	299
6	1	1968	Piero Piccioni	Bora Bora	100	bora.jpg	300
31	10	1976	Adriano Celentano	Svalutation	100	svalutation.jpg	301
13	3	1970	Gleemen	Gleemen	100	gleemen.jpg	302
0	1	July 1966	Mina	Studio uno 66	100	uno66.jpg	303
15	7	July 1971	Lucio Battisti	Amore e non amore	100	nonamore.jpg	304
36	6	7 July 1978	Sensations' Fix	Flying Tapes	100	tapes.jpg	305
35	6	1977	Rino Gaetano	Aida	100	aida.jpg	306
28	9	1975	Enzo Capuano	Storia mai scritta	100	scritta.jpg	307
26	13	1974	I Nomadi	I Nomadi interpretano Guccini	100	nomadi.jpg	308
21	15	May 1973	Gabriella Ferri	Sempre	100	sempre.jpg	309
32	10	February 1976	Banco del Mutuo Soccorso	Garofano rosso	100	garofano.jpg	310
1	1	1966	I Corvi	Un ragazzo di strada	100	corvi.jpg	311
5	0	April 1967	I Nomadi	Per quando noi non ci saremo	100	saremo.jpg	312
29	9	1975	Stormy Six	Un biglietto del tram	100	tram.jpg	313
